FREQUENCY (MHz)),LOSS (dB),
2992,-7.909101118,
2996,-7.894688004,
3000,-7.825603972,
3004,-7.795185959,
3008,-7.843242448,
3012,-7.775628289,
3016,-7.78857153,
3020,-7.852061686,
3024,-7.855001432,
3028,-7.782692038,
3032,-7.819724479,
3036,-7.884398892,
3040,-7.837812277,
3044,-7.978470766,
3048,-7.896157877,
3052,-7.782692038,
3056,-7.979655023,
3060,-7.954952798,
3064,-7.987290004,
3068,-7.947317817,
3072,-7.899097623,
3076,-8.00492848,
3080,-7.932619087,
3084,-8.028446449,
3088,-8.003458607,
3092,-7.97553102,
3096,-8.093120862,
3100,-7.99022975,
3104,-7.984350258,
3108,-8.234228672,
3112,-8.028446449,
3116,-7.904977115,
3120,-8.151915783,
3124,-8.155590465,
3128,-8.107819592,
3132,-8.057843909,
3136,-7.972591274,
3140,-7.945847944,
3144,-8.016687465,
3148,-8.099000354,
3152,-8.049024671,
3156,-8.016687465,
3160,-8.122518322,
3164,-8.060783655,
3168,-8.034325941,
3172,-8.099000354,
3176,-8.066663147,
3180,-8.006112738,
3184,-8.057843909,
3188,-8.099000354,
3192,-8.193072227,
3196,-8.273629628,
3200,-8.154855529,
3204,-8.137217052,
3208,-8.173678262,
3212,-8.237168418,
3216,-8.273180307,
3220,-8.158979532,
3224,-8.175433751,
3228,-8.186457799,
3232,-8.171759068,
3236,-8.212915513,
3240,-8.172494005,
